link,year,disambiguation,length,pageviews,revisions,title,score
James_Buchanan,1791,False,437322,101404,5044,James Buchanan,0.8617752139677862
John_Tyler,1790,False,425069,77176,4774,John Tyler,0.8521811391580668
James_K._Polk,1795,False,413846,81159,4586,James K. Polk,0.8515758668642956
Charles_Babbage,1791,False,386850,68798,5245,Charles Babbage,0.8503532101526828
Mary_Shelley,1797,False,390817,70273,4287,Mary Shelley,0.8443034172471736
Michael_Faraday,1791,False,242564,76894,4120,Michael Faraday,0.8352859671918226
Sam_Houston,1793,False,302907,48635,4342,Sam Houston,0.8296694613572234
Percy_Bysshe_Shelley,1792,False,305773,64548,3185,Percy Bysshe Shelley,0.826722939356578
Sojourner_Truth,1797,False,276834,41324,4666,Sojourner Truth,0.8256931368572135
John_Keats,1795,False,233081,61935,3599,John Keats,0.824300239334387
Franz_Schubert,1797,False,344464,50992,3254,Franz Schubert,0.8237082493575738
Antonio_López_de_Santa_Anna,1794,False,190924,51338,3738,Antonio López de Santa Anna,0.8164829005860634
Jedediah_Smith,1799,False,308103,35369,2775,Jedediah Smith,0.8061095899619494
Samuel_Morse,1791,False,225906,27169,4164,Samuel Morse,0.8060648409092085
Alexander_Pushkin,1799,False,247148,41533,2205,Alexander Pushkin,0.7979204217595655
Stephen_F._Austin,1793,False,185861,29469,3091,Stephen F. Austin,0.7947639223598248
Cornelius_Vanderbilt,1794,False,118439,64415,1906,Cornelius Vanderbilt,0.7882759203970212
Horace_Mann,1796,False,182325,25352,2488,Horace Mann,0.7829914615993876
Honoré_de_Balzac,1799,False,246205,27486,1916,Honoré de Balzac,0.7818515492001865
Pedro_I_of_Brazil,1798,False,475893,14623,2186,Pedro I of Brazil,0.7801798792025282
Pope_Pius_IX,1792,False,333383,20576,1891,Pope Pius IX,0.778922023575975
Mary_Anning,1799,False,228060,19067,2339,Mary Anning,0.7772313874605753
Thaddeus_Stevens,1792,False,326037,22354,1653,Thaddeus Stevens,0.7759374131452574
Gioachino_Rossini,1792,False,191398,24508,1909,Gioachino Rossini,0.7738442078821335
Nicholas_I_of_Russia,1796,False,232244,31491,1161,Nicholas I of Russia,0.7653413647663135
Matthew_Calbraith_Perry,1794,False,127999,25832,1640,Matthew C. Perry,0.7619669354944216
Auguste_Comte,1798,False,179708,28835,1160,Auguste Comte,0.7583732184352008
Ghalib,1796,False,158676,21686,1337,Ghalib,0.7541229547275266
Eugène_Delacroix,1798,False,191858,26647,1055,Eugène Delacroix,0.7538648988277321
Wilhelm_I_of_Germany,1797,False,249712,23099,978,"William I, German Emperor",0.7518810047754771
Thomas_Carlyle,1795,False,214122,22070,1063,Thomas Carlyle,0.7513140808033906
Lucretia_Mott,1793,False,194475,11830,1731,Lucretia Mott,0.7501917201856871
Princess_Charlotte_Augusta_of_Wales,1796,False,238610,20461,932,Princess Charlotte of Wales,0.7460168342673107
Adam_Mickiewicz,1798,False,313673,6879,1917,Adam Mickiewicz,0.7449867360454635
Johns_Hopkins,1795,False,112705,11578,2044,Johns Hopkins,0.7448754762185149
Léopold_I_of_Belgium,1790,False,239885,20445,859,Leopold I of Belgium,0.7427849577512221
