link,year,disambiguation,length,pageviews,revisions,title,score
Empress_Matilda,1102,False,347903,30080,1528,Empress Matilda,0.7821595925245455
Yue_Fei,1103,False,207612,8135,1107,Yue Fei,0.724528212037087
Afonso_I_of_Portugal,1109,False,202609,6968,789,Afonso I of Portugal,0.7070243243470481
Pope_Alexander_III,1105,False,114217,4250,335,Pope Alexander III,0.6498467530077882
Ibn_Tufail,1105,False,113421,2970,303,Ibn Tufail,0.6353349290586878
William_Adelin,1103,False,111997,3594,236,William Adelin,0.6297145227665352
Melisende_of_Jerusalem,1105,False,126539,1696,348,"Melisende, Queen of Jerusalem",0.6251585952253441
Pope_Celestine_III,1106,False,150680,2583,224,Pope Celestine III,0.6220910809953066
Matilda_of_Boulogne,1105,False,111132,2410,226,Matilda of Boulogne,0.616486855434064
Adeliza_of_Louvain,1103,False,71409,2401,236,Adeliza of Louvain,0.612148466764408
Biddenden_Maids,1100,False,112751,1795,211,Biddenden Maids,0.6050224039332316
Alfonso_VII_of_León,1105,False,151445,1001,292,Alfonso VII of León,0.6029151322465571
Emperor_Gaozong_of_Song,1107,False,67403,1824,144,Emperor Gaozong of Song,0.5817804891992173
"Robert_de_Beaumont,_2nd_Earl_of_Leicester",1104,False,60741,1462,167,"Robert de Beaumont, 2nd Earl of Leicester",0.58077317366193
William_Clito,1102,False,53793,1811,151,William Clito,0.580771266140753
Bohemund_II_of_Antioch,1108,False,120563,1093,159,Bohemond II of Antioch,0.5782741362105751
Emperor_Toba,1103,False,81586,1427,144,Emperor Toba,0.5772378294141446
"Gilbert_de_Clare,_1st_Earl_of_Pembroke",1100,False,41467,1643,151,"Gilbert de Clare, 1st Earl of Pembroke",0.5745239789305066
Henry_II_of_Austria,1107,False,74742,868,128,"Henry II, Duke of Austria",0.5559468288526735
Harald_IV_of_Norway,1103,False,61942,624,132,Harald Gille,0.5445313166927774
Minamoto_no_Yorimasa,1106,False,41385,1387,83,Minamoto no Yorimasa,0.541615007622299
Emperor_Qinzong,1100,False,58086,597,125,Emperor Qinzong,0.540040804122997
Alphonse_I_of_Toulouse,1103,False,54578,496,114,Alfonso Jordan,0.529298871438511
"Baldwin_IV,_Count_of_Hainaut",1108,False,38878,737,64,"Baldwin IV, Count of Hainaut",0.5108105168526493
"Leopold_IV,_Duke_of_Bavaria",1108,False,63720,341,93,"Leopold, Duke of Bavaria",0.5094520051016261
Helena_of_Skövde,1101,False,63886,333,90,Helena of Skövde,0.5072416211055005
Héloïse_d'Argenteuil,1100,False,108363,69,466,Héloïse,0.4887795590999154
Eleanor_of_Champagne,1104,False,23935,90,34,Eleanor of Champagne,0.40803470222585647
Empress_Xing,1106,False,32145,176,17,Empress Xing,0.3938790831087398
Queen_Gongye,1109,False,38427,0,4,Queen Gongye,0.10495559525500292
