color,label_align,name
255|9|1,,Swaziland
255|10|1,,Sweden
255|11|1,,Switzerland
255|12|1,,Syria
255|13|1,,São Tomé and Príncipe
255|14|1,,Taiwan
255|15|1,,Tajikistan
255|16|1,,Tanzania
255|17|1,,Thailand
255|18|1,,The Gambia
255|19|1,,Togo
255|20|1,,Tokelau
255|21|1,,Tonga
255|22|1,,Trinidad and Tobago
255|23|1,,Tunisia
255|24|1,,Turkey
255|25|1,,Turkmenistan
255|26|1,,Turks and Caicos Islands
255|27|1,,Tuvalu
255|28|1,,Uganda
255|29|1,,Ukraine
255|30|1,,United Arab Emirates
255|31|1,,United Kingdom
255|32|1,,United States
255|33|1,,United States Virgin Islands
255|34|1,,Uruguay
255|35|1,,Uzbekistan
255|36|1,,Vanuatu
255|37|1,,Vatican City
255|38|1,,Venezuela
255|39|1,,Vietnam
255|40|1,,Wallis and Futuna
255|41|1,,Western Sahara
255|42|1,,Yemen
255|43|1,,Zambia
255|44|1,,Zimbabwe
255|45|1,,Åland Islands
