link,year,disambiguation,length,pageviews,revisions,title,score
Otto_of_Freising,1114,False,69490,1199,224,Otto von Freising,0.588741990215904
Manuel_I_Komnenos,1118,False,79262,886,259,Manuel I. (Byzanz),0.5860848565905508
"Geoffrey_Plantagenet,_Count_of_Anjou",1113,False,60700,810,163,Gottfried V. (Anjou),0.5615676778190344
Andronicus_I_Comnenus,1118,False,62793,479,201,Andronikos I. (Byzanz),0.5519509095620218
Nur_ad-Din_Zangi,1118,False,51404,756,103,Nur ad-Din,0.5376013224306754
Stefan_Nemanja,1113,False,44464,494,123,Stefan Nemanja,0.5299856098224022
Gerard_of_Cremona,1114,False,46814,337,100,Gerhard von Cremona,0.5088944291996697
Andrei_Bogolyubsky,1111,False,43151,198,94,Andrei Bogoljubski,0.48591698425621604
Aelred_of_Rievaulx,1110,False,57054,185,74,Aelred von Rievaulx,0.47635783260546843
Gertrude_of_Süpplingenburg,1115,False,34186,333,51,Gertrud von Sachsen,0.4749527297203744
Gertrude_of_Süpplingenburg,1118,False,34186,333,51,Gertrud von Sachsen,0.4749527297203744
Taira_no_Kiyomori,1118,False,42388,217,56,Taira no Kiyomori,0.4674043910075266
Emperor_Sutoku,1119,False,36497,116,67,Sutoku,0.4498776681341607
Bhaskara_II,1114,False,41555,129,58,Bhaskara II.,0.4495059394979914
Düsum_Khyenpa,1110,False,38518,77,78,Düsum Khyenpa,0.4378468371061693
"Matthias_I,_Duke_of_Lorraine",1119,False,37794,165,37,Matthäus I. (Lothringen),0.4373517043960929
Ahmed_ar-Rifa'i,1118,False,30885,194,33,Ahmed Rifai,0.4351347032248988
Euphrosyne_of_Polatsk,1110,False,38593,112,42,Euphrosyne von Polazk,0.42956140517432384
Wang_Chongyang,1113,False,35501,87,47,Wang Zhe,0.42366574284126485
Sibylla_of_Anjou,1112,False,37973,100,40,Sibylle von Anjou,0.4229030615708991
"Henry_of_Scotland,_3rd_Earl_of_Huntingdon",1114,False,32428,159,25,Heinrich von Schottland,0.41432464403582286
"Eudes_II,_Duke_of_Burgundy",1118,False,34430,101,32,Odo II. (Burgund),0.41227190832980254
Saigyo,1118,False,38605,72,41,Saigyō,0.4107393391573062
Humphrey_II_of_Toron,1117,False,34903,71,42,Humfried II. von Toron,0.41040246874626846
"Richeza_of_Poland,_Queen_of_Sweden",1116,False,37283,127,17,Rikissa von Polen,0.3857414929892996
"Roger_de_Clare,_3rd_Earl_of_Hertford",1116,False,36913,73,15,"Roger de Clare, 2. Earl of Hertford",0.36093327849648493
Gualdim_Pais,1118,False,29182,62,12,Gualdim Pais,0.340679664934177
Gilbert_Fitz_Richard_de_Clare,1115,False,33774,46,12,"Gilbert de Clare, 1. Earl of Hertford",0.33158252647805103
Josceline_de_Bohon,1111,False,45834,0,9,Jocelin de Bohun,0.11598505775720591
Emperor_Xizong_of_Jin,1119,,1,1,1,?,0.05448825167540282
Agnes_of_Babenberg,1111,,1,1,1,?,0.05448825167540282
"Christina_of_Denmark,_Queen_of_Norway",1118,,1,1,1,?,0.05448825167540282
