link,year,disambiguation,length,pageviews,revisions,title,score
Petrarch,1304,False,100635,4806,449,Francesco Petrarca,0.6633677031254226
Saint_Birgitta,1303,False,84784,1667,296,Birgitta von Schweden,0.612866280675224
Konrad_of_Megenberg,1309,False,68862,472,139,Konrad von Megenberg,0.5383402367823044
Ibn_Kathir,1300,False,43832,500,116,Ibn Kathīr,0.5278044801318125
"Otto,_Duke_of_Austria",1301,False,52248,394,129,Otto der Fröhliche,0.5259028794700902
Günther_von_Schwarzburg,1304,False,42147,417,90,Günther XXI. (Schwarzburg-Blankenburg),0.510564122432281
Jean_Buridan,1300,False,48201,321,95,Johannes Buridan,0.5053630603812079
Longchenpa,1308,False,42455,198,85,Longchen Rabjam,0.4818177109224395
"Rudolf_II,_Duke_of_Bavaria",1306,False,45287,325,53,Rudolf II. (Pfalz),0.47879460926301565
Ashikaga_Takauji,1305,False,43379,221,67,Ashikaga Takauji,0.4762248383572914
Jayaatu_Khan,1304,False,33687,279,51,Toqa Timur,0.4692577028966938
Taddeo_Gaddi,1300,False,42849,179,61,Taddeo Gaddi,0.46439366539832005
Aleksandr_Mikhailovich_of_Tver,1301,False,41788,152,71,Alexander Michailowitsch,0.46424328312284513
John_of_Winterthur,1300,False,37302,144,69,Johannes von Winterthur,0.45994660375722274
"Edmund_of_Woodstock,_1st_Earl_of_Kent",1301,False,39985,247,44,"Edmund of Woodstock, 1. Earl of Kent",0.459717801755063
Louis_I_of_Flanders,1304,False,38526,133,59,Ludwig I. (Flandern),0.45076368253107263
"Gegeen_Khan,_Emperor_Yingzong_of_Yuan",1303,False,30838,169,49,Suddhipala,0.4497099779567486
Laura_de_Noves,1308,False,37862,278,32,Laura de Noves,0.44603725384445647
Geoffroi_de_Charny,1300,False,44968,132,49,Geoffroy de Charny,0.44386479044886057
"John_III,_Duke_of_Brabant",1300,False,43354,188,37,Johann III. (Brabant),0.44282442239468706
Alessandra_Giliani,1307,False,45988,64,114,Alessandra Giliani,0.4421744355021424
"Marie_of_Luxembourg,_Queen_of_France",1304,False,38145,153,43,Maria von Luxemburg,0.442031589609332
"Isabella_of_Aragon,_Queen_of_Germany",1305,False,38031,186,34,Elisabeth von Aragón,0.4370702714698645
"Adolf,_Count_Palatine_of_the_Rhine",1300,False,34363,136,42,Adolf (Pfalz),0.435849025568416
Ni_Zan,1301,False,35443,90,53,Ni Zan,0.42989998898999116
"Khutughtu_Khan,_Emperor_Mingzong_of_Yuan",1300,False,30444,124,40,Qutugku Khan,0.42925736578696433
Azzone_Visconti,1302,False,36527,122,36,Azzo Visconti,0.4252096922964023
"Thomas_of_Brotherton,_1st_Earl_of_Norfolk",1300,False,41465,173,25,"Thomas of Brotherton, 1. Earl of Norfolk",0.4187363757367243
Nitta_Yoshisada,1301,False,30918,144,28,Nitta Yoshisada,0.41699328879339
Ingeborg_of_Norway,1301,False,35709,71,39,Ingebjørg Håkonsdatter,0.40751221604134696
"William_II,_Count_of_Hainaut",1307,False,37299,125,24,Wilhelm IV. (Holland),0.4054755970834602
"Isabella,_Countess_of_Brienne",1306,False,32396,68,36,Isabella von Brienne,0.4016407174271344
Aldona_of_Lithuania,1309,False,34273,106,25,Anna von Litauen,0.4015840031225343
"Leo_IV,_King_of_Armenia",1309,False,37721,90,27,Leon V. (Armenien),0.4004114144029442
"Domhnall_II,_Earl_of_Mar",1302,False,38141,62,37,"Domhnall, 8. Earl of Mar",0.39999934477171967
Andrew_Corsini,1302,False,45183,85,26,Andrea Corsini,0.3976322295655739
Prince_Morikuni,1301,False,30681,61,24,Morikuni,0.3786143486430897
Jeanne_de_Clisson,1300,False,29107,306,11,Jeanne de Belleville,0.37404370418595456
"Robert,_Count_of_Burgundy",1300,False,32803,64,14,Robert (Burgund),0.3518330394968691
Ashikaga_Tadayoshi,1306,False,27674,40,19,Ashikaga Tadayoshi,0.3498631863100456
Ibn_Battuta,1304,False,181079,0,532,Ibn Battūta,0.1320446381969108
Prince_Moriyoshi,1308,False,33808,0,6,Moriyoshi,0.11132956561125314
"William_de_Clinton,_1st_Earl_of_Huntingdon",1304,,1,1,1,?,0.05448825167540282
Dionigi_di_Borgo_San_Sepolcro,1300,,1,1,1,?,0.05448825167540282
Richard_FitzRalph,1300,,1,1,1,?,0.05448825167540282
Hélie_de_Talleyrand-Périgord_(cardinal),1301,,1,1,1,?,0.05448825167540282
Ahmad_ibn_Naqib_al-Misri,1302,,1,1,1,?,0.05448825167540282
Laurence_Minot_(poet),1300,,1,1,1,?,0.05448825167540282
"Ralph_de_Stafford,_1st_Earl_of_Stafford",1301,,1,1,1,?,0.05448825167540282
"William_Montagu,_1st_Earl_of_Salisbury",1301,,1,1,1,?,0.05448825167540282
Sasaki_Takauji,1306,,1,1,1,?,0.05448825167540282
Al-Umari,1300,,1,1,1,?,0.05448825167540282
