link,year,disambiguation,length,pageviews,revisions,title,score
Edward_Charles_Titchmarsh,1899,False,67177,83,22,Edward Charles Titchmarsh,0.3905206092213181
Elpidio_Quirino,1890,False,52555,100,20,Elpidio Quirino,0.39018420288370503
Andy_Clyde,1892,False,59500,61,28,Andy Clyde,0.38994994326055377
Percy_Helton,1894,False,41822,77,24,Percy Helton,0.3894412692115061
Marjory_Stoneman_Douglas,1890,False,45843,60,29,Marjory Stoneman Douglas,0.38927577117802137
Celia_Lovsky,1897,False,74026,110,18,Celia Lovsky,0.38904978240807325
Dion_Fortune,1890,False,49989,218,14,Dion Fortune,0.38873261006262977
Erika_Abels_d'Albert,1896,False,37653,61,29,Erika Abels d'Albert,0.3887117506318001
Herbert_Lumsden,1897,False,40813,56,31,Herbert Lumsden,0.3885732637938584
Ernest_Haycox,1899,False,71947,108,18,Ernest Haycox,0.38830705710086383
Eddie_Edwards_(musician),1891,False,43401,46,37,Eddie Edwards (musicien),0.38736255024961047
Masatane_Kanda,1890,False,56815,69,24,Masatane Kanda,0.38717945561395345
John_Stuart_(actor),1898,False,48746,58,28,John Stuart (acteur),0.38665149674084764
Margaret_Booth,1898,False,66515,66,24,Margaret Booth,0.38637258933610863
Henry_Louis_Larsen,1890,False,75439,39,40,Henry Louis Larsen,0.385482507705528
Claire_Huchet_Bishop,1899,False,56250,58,26,Claire Huchet-Bishop,0.38408340916509337
Lloyd_Hughes,1897,False,57240,57,26,Lloyd Hughes,0.3834665148232971
Viktor_Maksimovich_Zhirmunsky,1891,False,79953,36,42,Viktor Jirmounsky,0.38341925377834307
Sim_Gokkes,1897,False,47540,46,33,Sim Gokkes,0.3833775929726482
Konstantinos_Tsatsos,1899,False,49530,89,19,Konstantínos Tsátsos,0.38301341766761626
François_Demol,1895,False,56288,47,31,François Demol,0.38278170112880083
Henry_J._Cadbury,1893,False,72810,39,37,Henry Cadbury,0.38237331229096794
Kinsan_Ginsan,1892,False,33925,57,27,Kinsan Ginsan,0.382025865466434
Jibanananda_Das,1899,False,49576,44,33,Jibanananda Das,0.38156050606243574
Ida_Kamińska,1899,False,49166,58,25,Ida Kamińska,0.3814427979765647
Suzanne_La_Follette,1893,False,46443,79,20,Suzanne La Follette,0.38140899264589967
Lefty_O'Doul,1897,False,57582,43,33,Lefty O'Doul,0.38134953412383743
Harry_B._Liversedge,1894,False,50627,39,38,Harry Liversedge,0.38130170315046
Ken_Harris,1898,False,45246,47,30,Ken Harris,0.380118350859687
Angus_Lewis_Macdonald,1890,False,57634,45,30,Angus Lewis Macdonald,0.3795554716025188
Dorothy_Peterson,1897,False,46049,61,23,Dorothy Peterson,0.3790354957021509
Fritz_Rumey,1891,False,45857,61,23,Fritz Rumey,0.3790108072758648
Bert_Acosta,1895,False,53069,45,29,Bertrand Blanchard Acosta,0.377653061694985
Andrés_Soler,1898,False,92668,60,21,Andrés Soler,0.3776475906278199
DeFord_Bailey,1899,False,51199,52,25,DeFord Bailey,0.37716923283007975
Takuma_Nishimura,1899,False,50967,57,23,Takuma Nishimura,0.3769410850766964
Fritz_Kortner,1892,False,55864,88,17,Fritz Kortner,0.37684061418920706
Herbie_Faye,1899,False,49860,38,35,Herbie Faye,0.37683895208958396
Gerald_Haxton,1892,False,52970,112,15,Gerald Haxton,0.376185995908737
Isidor_Achron,1892,False,42266,46,28,Isidore Achron,0.37581898528355817
Hubertus_van_Mook,1894,False,46160,73,19,Hubertus van Mook,0.3757786688539971
Roderic_Dallas,1891,False,50924,52,24,Roderic Dallas,0.3752321118434987
Väinö_Raitio,1891,False,41149,40,32,Väinö Raitio,0.37473971292882424
Neva_Morris,1895,False,40787,45,28,Neva Morris,0.37463096719976713
Mikhail_Kirponos,1892,False,57517,63,20,Mikhaïl Kirponos,0.37441678945150014
Bernhard_Zondek,1891,False,53292,46,26,Bernhard Zondek,0.37391303790733293
Fern_Andra,1893,False,64144,61,20,Fern Andra,0.37379235463790894
Harry_Heilmann,1894,False,44979,46,26,Harry Heilmann,0.3729516184631176
Ruben_Rausing,1895,False,58281,98,15,Ruben Rausing,0.37273253109339
Louis_Favre_(painter),1892,False,60816,52,22,Louis Favre (peintre),0.37204214902250526
Alfred_Lunt,1892,False,42735,66,19,Alfred Lunt,0.3717254499929458
Leroy_Robertson,1896,False,54961,52,22,Leroy Robertson,0.37149052172486713
Mikhail_Krichevsky,1897,False,34432,91,16,Mikhaïl Kritchevski,0.371451895611122
