link,year,disambiguation,length,pageviews,revisions,title,score
Charles_Darwin,1809,False,451961,188911,2573,Charles Darwin,0.8525514083099447
Edgar_Allan_Poe,1809,False,520990,94103,2663,Edgar Allan Poe,0.8401867380871628
Benito_Juárez,1806,False,296020,117960,2719,Benito Juárez,0.8350984072776221
Abraham_Lincoln,1809,False,199370,73089,2930,Abraham Lincoln,0.8179896188281708
Victor_Hugo,1802,False,427443,36895,1240,Victor Hugo,0.7828166764241811
Hans_Christian_Andersen,1805,False,144860,22592,1223,Hans Christian Andersen,0.7501458274394383
Juan_José_Flores,1800,False,161084,17608,889,Juan José Flores,0.7333753422337418
Alexandre_Dumas,1802,False,129195,21472,814,Alejandro Dumas,0.7309208548210306
Joseph_Smith,1805,False,132556,10973,1284,Joseph Smith,0.7307247389029615
Napoleon_III,1808,False,193065,12344,891,Napoleón III Bonaparte,0.7271296552526963
John_Stuart_Mill,1806,False,121605,23543,707,John Stuart Mill,0.7263137416939895
Giuseppe_Garibaldi,1807,False,135756,13441,831,Giuseppe Garibaldi,0.7206418847425615
Felix_Mendelssohn,1809,False,252983,7533,706,Felix Mendelssohn,0.7084742562372869
Antonio_Meucci,1808,False,72244,10472,385,Antonio Meucci,0.6719424676194635
Ludwig_Feuerbach,1804,False,98648,7368,385,Ludwig Feuerbach,0.6682767494820157
Louis_Braille,1809,False,112170,6004,364,Louis Braille,0.6625176283415849
Ralph_Waldo_Emerson,1803,False,131301,7636,288,Ralph Waldo Emerson,0.6607713402376978
Hector_Berlioz,1803,False,123289,4014,402,Hector Berlioz,0.6568950282679388
Nikolai_Gogol,1809,False,105994,5193,339,Nikolái Gógol,0.6547251657453506
Friedrich_Wöhler,1800,False,70099,7694,304,Friedrich Wöhler,0.6536229780532391
Pierre-Joseph_Proudhon,1809,False,101352,6443,280,Pierre-Joseph Proudhon,0.6513071820169699
Manuel_Montt,1809,False,82018,2650,541,Manuel Montt,0.6495384695619456
Max_Stirner,1806,False,128870,2563,439,Max Stirner,0.6475143552891248
Benjamin_Disraeli,1804,False,139642,3050,354,Benjamin Disraeli,0.6454708781141438
Flora_Tristan,1803,False,113758,4703,246,Flora Tristán,0.6390070263923803
George_Sand,1804,False,100724,6054,222,George Sand,0.6389419972390142
Nathaniel_Hawthorne,1804,False,84991,4733,258,Nathaniel Hawthorne,0.6370570516500275
Alexis_de_Tocqueville,1805,False,84433,5011,249,Alexis de Tocqueville,0.6368507267125695
John_Henry_Newman,1801,False,118212,2479,331,John Henry Newman,0.6341771012508953
Andrew_Johnson,1808,False,88895,4642,229,Andrew Johnson,0.6318465131194523
Johann_Strauss_I,1804,False,70812,4084,264,Johann Strauss (padre),0.6314367279101092
Robert_E._Lee,1807,False,80512,6887,186,Robert E. Lee,0.6302445104897983
Franklin_Pierce,1804,False,103274,3354,245,Franklin Pierce,0.6283496437694044
Millard_Fillmore,1800,False,91606,3103,250,Millard Fillmore,0.6253821930902855
Giuseppe_Mazzini,1805,False,85965,3112,246,Giuseppe Mazzini,0.6238583524652779
Georges-Eugène_Haussmann,1809,False,130033,3084,212,Georges-Eugène Haussmann,0.622690157148029
Juan_Crisóstomo_Arriaga,1806,False,120984,1219,392,Juan Crisóstomo de Arriaga,0.6178852780544583
Honoré_Daumier,1808,False,85055,3311,206,Honoré Daumier,0.6175270865737321
"Alfred,_Lord_Tennyson",1809,False,297822,2058,185,Alfred Tennyson,0.6148917488586214
Vincenzo_Bellini,1801,False,64590,3012,177,Vincenzo Bellini,0.604220574439138
José_Trinidad_Cabañas,1805,False,65219,3241,164,José Trinidad Cabañas,0.602702386571239
Jefferson_Davis,1808,False,71925,3762,143,Jefferson Davis,0.6011745274393601
Mariano_Arista,1802,False,73899,2919,152,Mariano Arista,0.5981183628944836
Niels_Henrik_Abel,1802,False,88171,2116,172,Niels Henrik Abel,0.5975620410296943
Helmuth_von_Moltke_the_Elder,1800,False,96845,1643,193,Helmuth von Moltke,0.5965661387871277
Augustus_De_Morgan,1806,False,191579,1882,146,Augustus De Morgan,0.5960118852288956
Brigham_Young,1801,False,68111,1765,202,Brigham Young,0.596000037673988
William_Rowan_Hamilton,1805,False,75114,2112,154,William Rowan Hamilton,0.5903363790895755
Catherine_Labouré,1806,False,56932,2345,152,Catalina Labouré,0.5888351952917121
Venancio_Flores,1808,False,67634,1497,184,Venancio Flores,0.5870688149493848
Mikhail_Glinka,1804,False,61925,1401,186,Mijaíl Glinka,0.5843826976069512
John_Deere_(inventor),1804,False,45198,4112,110,John Deere,0.58351010576229
Prosper_Mérimée,1803,False,78435,1518,158,Prosper Mérimée,0.5827320857917461
Isambard_Kingdom_Brunel,1806,False,100685,1016,193,Isambard Kingdom Brunel,0.5820572818446345
Justus_von_Liebig,1803,False,77371,2129,127,Justus von Liebig,0.5817751009596084
Christian_Doppler,1803,False,65143,1944,140,Christian Andreas Doppler,0.5817725778050619
Gérard_de_Nerval,1808,False,68907,1606,154,Gérard de Nerval,0.5815511882052748
Charles_Goodyear,1800,False,46426,1878,154,Charles Goodyear,0.5806436432643857
Frédéric_Bastiat,1801,False,75796,1420,151,Frédéric Bastiat,0.5783228121565769
Carl_Gustav_Jacob_Jacobi,1804,False,75649,1141,170,Carl Gustav Jakob Jacobi,0.5769007152505364
Richard_Owen,1804,False,88239,1362,144,Richard Owen,0.576834762853382
Francisca_Zubiaga_y_Bernales,1803,False,49749,1681,128,Francisca Zubiaga y Bernales,0.5701047552807263
Braulio_Carrillo_Colina,1800,False,67377,1130,135,Braulio Carrillo Colina,0.5651042885991734
John_Brown_(abolitionist),1800,False,59730,1961,90,John Brown (abolicionista),0.5590868278374818
