link,year,disambiguation,length,pageviews,revisions,title,score
Robert_II_of_France,1014,False,255214,1399,353,Roberto II de Francia,0.628174496025498
Bermudo_III_of_León,1010,False,98447,1410,236,Bermudo III de León,0.6005371598606468
Harald_Hardrada,1015,False,58788,3361,152,Harald III de Noruega,0.5985528150492446
Pope_Benedict_IX,1012,False,56762,1921,203,Benedicto IX,0.5961418592509086
"Henry_III,_Holy_Roman_Emperor",1017,False,58772,785,119,Enrique III el Negro,0.5467901004516111
Harthacnut_(1020–1042),1019,False,48593,1292,90,Canuto Hardeknut,0.5457758805124943
Harthacnut,1018,False,48593,1292,90,Canuto Hardeknut,0.5457758805124943
Sancha_of_León,1013,False,56341,759,105,Sancha de León,0.539657694509426
Harold_Harefoot,1015,False,46069,892,76,Haroldo Harefoot,0.5266542030084967
Michael_Psellus,1018,False,85308,307,99,Miguel Psellos,0.5111868174358594
Andrew_I_of_Hungary,1015,False,60731,195,154,Andrés I de Hungría,0.5066143872484324
Al-Bakri,1014,False,36683,373,68,Abu Abdullah al-Bakri,0.4929252272268887
Michael_IV_the_Paphlagonian,1010,False,41701,300,70,Miguel IV,0.4883988167647028
Michael_V_Kalaphates,1015,False,38186,355,63,Miguel V,0.48821314475872163
"Robert_I,_Duke_of_Burgundy",1011,False,41072,333,64,Roberto I de Borgoña,0.4876247527484678
Nizam_al-Mulk,1018,False,48394,290,56,Nizam al-Mulk,0.478416219505565
Casimir_I_the_Restorer,1016,False,42697,183,78,Casimiro I el Restaurador,0.4754221080245557
Ramanujacharya,1017,False,51186,181,61,Rāmānuja Āchārya,0.4663829449236896
Shao_Yong,1011,False,38098,155,48,Shao Yong,0.4475323628870519
Edward_the_Exile,1016,False,30291,166,47,Eduardo el Exiliado,0.4470304815488188
Zhou_Dunyi,1017,False,35844,135,33,Zhou Dunyi,0.4244038058615232
Isaac_Alfasi,1013,False,40189,86,40,Isaac Alfasi,0.4173513528214278
Zeng_Gong,1019,False,39226,77,38,Zeng Gong,0.41045831445656
Marpa_Lotsawa,1012,False,35545,159,23,Marpa,0.41026378490942483
Emperor_Renzong_of_Song,1010,False,38291,58,43,Song Renzong,0.40309372619956996
"Richeza_of_Poland,_Queen_of_Hungary",1013,False,34074,61,38,"Riquilda de Polonia, reina de Hungría",0.399613289786304
Ermesinda_of_Bigorre,1015,False,35037,134,19,Gisberga,0.3937528483056451
Benno,1010,False,39487,68,27,Benón de Meissen,0.3900959222667529
Adalbero_of_Würzburg,1010,False,34418,64,29,Adalberón de Wurzburgo,0.39008595631710236
Svein_Knutsson,1016,False,39513,70,23,Sveinn Knútsson,0.3833808655754184
Beatrice_of_Lorraine,1017,False,49901,59,11,Beatriz de Bar,0.33609967430081616
Sima_Guang,1019,False,38755,90,9,Sima Guang,0.3324057072791404
Eleanor_of_Normandy,1011,False,31345,41,8,Leonor de Normandía,0.30109025208120255
Alī_ibn_Ahmad_al-Nasawī,1010,,1,1,1,?,0.05448825167540282
Cai_Xiang,1012,,1,1,1,?,0.05448825167540282
Munjong_of_Goryeo,1019,,1,1,1,?,0.05448825167540282
Wen_Tong,1019,,1,1,1,?,0.05448825167540282
Emperor_Xingzong_of_Liao,1016,,1,1,1,?,0.05448825167540282
Ralph_the_Staller,1011,,1,1,1,?,0.05448825167540282
Deokjong_of_Goryeo,1016,,1,1,1,?,0.05448825167540282
Akkadevi,1010,,1,1,1,?,0.05448825167540282
"Richilde,_Countess_of_Hainaut",1018,,1,1,1,?,0.05448825167540282
Gebhard_of_Salzburg,1010,,1,1,1,?,0.05448825167540282
Anawrahta,1014,,1,1,1,?,0.05448825167540282
Empress_Cao_(Song_dynasty),1016,,1,1,1,?,0.05448825167540282
Fujiwara_no_Genshi,1016,,1,1,1,?,0.05448825167540282
Empress_Guo_(Renzong),1012,,1,1,1,?,0.05448825167540282
Không_Lộ,1016,,1,1,1,?,0.05448825167540282
"Jeongjong,_10th_Monarch_of_Goryeo",1018,,1,1,1,?,0.05448825167540282
