link,year,disambiguation,length,pageviews,revisions,title,score
William_the_Conqueror,1028,False,144362,4633,212,ウィリアム1世 (イングランド王),0.6350190920812251
Wang_Anshi,1021,False,60529,1606,125,王安石,0.5702856645074116
Emperor_Go-Reizei,1025,False,154550,2373,70,後冷泉天皇,0.5605995564192251
Harold_Godwinson,1022,False,83125,887,98,ハロルド2世 (イングランド王),0.5455178485207303
Princess_Shōshi_(1027–1105),1027,False,80566,559,42,章子内親王,0.487641263671459
Magnus_I_of_Norway,1024,False,110964,294,55,マグヌス1世 (ノルウェー王),0.4852831829895532
Alp_Arslan,1029,False,66392,487,38,アルプ・アルスラーン,0.47640173849716344
Eudokia_Makrembolitissa,1021,False,76778,286,47,エウドキア・マクレンボリティサ,0.47340553955696263
Princess_Kaoruko,1029,False,58581,526,28,馨子内親王,0.458751445222694
Tostig_Godwinson,1026,False,45422,161,50,トスティ・ゴドウィンソン,0.45224664315979235
Iziaslav_I_of_Kiev,1024,False,61066,117,48,イジャスラフ1世,0.4406913522745163
Zhang_Zai,1020,False,39234,190,29,張載,0.42950115326100524
Su_Song,1020,False,40950,120,16,蘇頌,0.38084488137060624
Matilda_of_Frisia,1024,False,40691,80,16,マティルド・ド・フリーズ,0.3683223441243553
Agnes_of_Poitou,1025,False,59789,126,8,アグネス・フォン・ポワトゥー,0.332612591463945
"Ernest,_Margrave_of_Austria",1027,,1,1,1,?,0.05448825167540282
Hugh_of_Cluny,1024,,1,1,1,?,0.05448825167540282
Anna_Dalassene,1025,,1,1,1,?,0.05448825167540282
Al-Juwayni,1028,,1,1,1,?,0.05448825167540282
"William_VII,_Duke_of_Aquitaine",1023,,1,1,1,?,0.05448825167540282
Wulfhild_of_Norway,1020,,1,1,1,?,0.05448825167540282
John_Italus,1025,,1,1,1,?,0.05448825167540282
Al-Mustansir_Billah,1029,,1,1,1,?,0.05448825167540282
Abbad_III_al-Mu'tamid,1027,,1,1,1,?,0.05448825167540282
Bruno_II,1024,,1,1,1,?,0.05448825167540282
