link,year,disambiguation,length,pageviews,revisions,title,score
Taira_no_Kiyomori,1118,False,206036,33949,566,平清盛,0.734552561702032
Emperor_Sutoku,1119,False,273988,22587,280,崇徳天皇,0.6958886229044189
Saigyo,1118,False,101806,11048,191,西行,0.6458153750907718
Manuel_I_Komnenos,1118,False,98163,494,134,マヌエル1世コムネノス,0.5422818159682055
Emperor_Xizong_of_Jin,1119,False,46813,767,89,熙宗 (金),0.5301918150398448
Andronicus_I_Comnenus,1118,False,88693,294,93,アンドロニコス1世コムネノス,0.5073411409159934
"Geoffrey_Plantagenet,_Count_of_Anjou",1113,False,61263,345,85,ジョフロワ4世,0.5055805250847356
Nur_ad-Din_Zangi,1118,False,60114,300,65,ヌールッディーン,0.4885667943458627
Wang_Chongyang,1113,False,57737,340,40,王重陽,0.46784092548574885
Stefan_Nemanja,1113,False,77822,154,60,ステファン・ネマニャ,0.4630435304820292
Bhaskara_II,1114,False,82716,304,25,バースカラ2世,0.4399802403401933
Gerard_of_Cremona,1114,False,46135,123,39,クレモナのジェラルド,0.4310785121965134
Gertrude_of_Süpplingenburg,1115,False,37814,83,38,ゲルトルート・フォン・ザクセン,0.41324750929804976
Gertrude_of_Süpplingenburg,1118,False,37814,83,38,ゲルトルート・フォン・ザクセン,0.41324750929804976
Euphrosyne_of_Polatsk,1110,False,57366,71,25,エヴフロシニヤ・ポロツカヤ,0.39037498855457786
"Eudes_II,_Duke_of_Burgundy",1118,False,41344,74,24,ウード2世 (ブルゴーニュ公),0.3878898031444443
Sibylla_of_Anjou,1112,False,39307,69,10,シビーユ・ダンジュー,0.3331447332407665
"Henry_of_Scotland,_3rd_Earl_of_Huntingdon",1114,False,34836,54,7,ヘンリー・オブ・スコットランド,0.2991850253040707
Otto_of_Freising,1114,False,53460,97,4,フライジングのオットー,0.2579299127165803
Ahmed_ar-Rifa'i,1118,,1,1,1,?,0.05448825167540282
Humphrey_II_of_Toron,1117,,1,1,1,?,0.05448825167540282
"Christina_of_Denmark,_Queen_of_Norway",1118,,1,1,1,?,0.05448825167540282
"Matthias_I,_Duke_of_Lorraine",1119,,1,1,1,?,0.05448825167540282
Josceline_de_Bohon,1111,,1,1,1,?,0.05448825167540282
Gualdim_Pais,1118,,1,1,1,?,0.05448825167540282
Gilbert_Fitz_Richard_de_Clare,1115,,1,1,1,?,0.05448825167540282
"Roger_de_Clare,_3rd_Earl_of_Hertford",1116,,1,1,1,?,0.05448825167540282
Düsum_Khyenpa,1110,,1,1,1,?,0.05448825167540282
"Richeza_of_Poland,_Queen_of_Sweden",1116,,1,1,1,?,0.05448825167540282
Agnes_of_Babenberg,1111,,1,1,1,?,0.05448825167540282
Aelred_of_Rievaulx,1110,,1,1,1,?,0.05448825167540282
Andrei_Bogolyubsky,1111,,1,1,1,?,0.05448825167540282
