link,year,disambiguation,length,pageviews,revisions,title,score
Edward_III_of_England,1312,False,186790,2985,160,エドワード3世 (イングランド王),0.613044833564762
Emperor_Kōgon,1313,False,184562,3869,132,光厳天皇,0.6098603800127704
"Charles_IV,_Holy_Roman_Emperor",1316,False,233430,1377,187,カール4世 (神聖ローマ皇帝),0.6002605116160826
Giovanni_Boccaccio,1313,False,75310,1238,128,ジョヴァンニ・ボッカッチョ,0.5667284850303542
Murad_I,1319,False,114160,811,121,ムラト1世,0.5560407903517374
Liu_Bowen,1311,False,48038,999,109,劉基,0.547635468669071
Kikuchi_Takemitsu,1319,False,87300,1577,73,菊池武光,0.5467963918489026
John_II_of_France,1319,False,90215,765,92,ジャン2世 (フランス王),0.5389312165102849
Casimir_III_of_Poland,1310,False,100149,632,93,カジミェシュ3世 (ポーランド王),0.5346121851508427
Philippa_of_Hainault,1314,False,54340,523,64,フィリッパ・オブ・エノー,0.5045108320773714
John_I_of_France,1316,False,95538,325,78,ジャン1世 (フランス王),0.5039342627073494
Pope_Urban_VI,1318,False,135037,265,76,ウルバヌス6世 (ローマ教皇),0.49849240395189426
Robert_II_of_Scotland,1316,False,87981,451,54,ロバート2世 (スコットランド王),0.4960031681138947
Alfonso_XI_of_Castile,1311,False,65487,318,62,アルフォンソ11世 (カスティーリャ王),0.4891001439547886
Pope_Urban_V,1310,False,130648,204,76,ウルバヌス5世 (ローマ教皇),0.48833505304042457
1314,1311,False,67726,221,79,1314年,0.4873775504271528
1312,1311,False,66574,186,73,1312年,0.47736683103044214
Peter_IV_of_Aragon,1319,False,71161,190,54,ペドロ4世 (アラゴン王),0.4655132288303034
Ramathibodi_I,1314,False,56546,248,43,ラーマーティボーディー1世,0.46169763480150267
Magnus_IV_of_Sweden,1316,False,118615,182,37,マグヌス4世 (スウェーデン王),0.44934386153385136
Bonne_of_Luxembourg,1315,False,50033,176,41,ボンヌ・ド・リュクサンブール,0.4468814312257066
Simeon_of_Russia,1316,False,69559,133,45,セミョーン (モスクワ大公),0.44373928613775154
Margarete_Maultasch,1318,False,46453,240,24,マルガレーテ・フォン・ティロル,0.42670856187872197
"Margaret_II,_Countess_of_Hainaut",1311,False,52448,130,31,マルガレーテ・フォン・ホラント,0.42278476836476153
"Frederick_II,_Margrave_of_Meissen",1310,False,42204,85,35,フリードリヒ2世 (マイセン辺境伯),0.4113367273162396
"Peter_I,_Duke_of_Bourbon",1311,False,46518,184,21,ピエール1世 (ブルボン公),0.411038988558867
Bernabò_Visconti,1319,False,71913,109,24,ベルナボ・ヴィスコンティ,0.40524370070410387
"Stephen_II,_Duke_of_Bavaria",1319,False,49869,94,24,シュテファン2世 (バイエルン公),0.39777504568626026
"Charles,_Duke_of_Brittany",1319,False,46431,160,16,シャルル・ド・ブロワ,0.3897119671617221
"Albert_II,_Duke_of_Mecklenburg",1318,False,61132,61,23,アルブレヒト2世 (メクレンブルク＝シュヴェリーン公),0.38067313232065697
"Maria_of_Portugal,_Queen_of_Castile",1313,False,47672,180,13,マリア・デ・ポルトゥガル (カスティーリャ王妃),0.37837309401690883
Guillaume_Tirel,1310,False,39104,191,12,ギヨーム・ティレル,0.3726455438874454
"Margaret_I,_Countess_of_Burgundy",1310,False,40037,93,13,マルグリット1世 (ブルゴーニュ女伯),0.3597974238767322
Bartolus_de_Saxoferrato,1313,False,40135,68,14,バルトールス・デ・サクソフェラート,0.3549029181845175
Eleanor_of_Woodstock,1318,False,38404,101,6,エリナー・オブ・ウッドストック,0.3002246715419497
Valdemar_III_of_Denmark,1314,False,74254,47,5,ヴァルデマー3世 (デンマーク王),0.2690983541830166
"James_I,_Count_of_La_Marche",1319,,1,1,1,?,0.05448825167540282
John_of_Bridlington,1319,,1,1,1,?,0.05448825167540282
Eleanor_of_Lancaster,1318,,1,1,1,?,0.05448825167540282
Märta_Ulfsdotter,1319,,1,1,1,?,0.05448825167540282
"John_Tiptoft,_2nd_Baron_Tibetot",1313,,1,1,1,?,0.05448825167540282
Michael_2nd_Baron_Poynings,1317,,1,1,1,?,0.05448825167540282
"William_II,_Duke_of_Athens",1312,,1,1,1,?,0.05448825167540282
"Laurence_Hastings,_1st_Earl_of_Pembroke",1319,,1,1,1,?,0.05448825167540282
James_III_of_Majorca,1315,,1,1,1,?,0.05448825167540282
"John_de_Mowbray,_3rd_Baron_Mowbray",1310,,1,1,1,?,0.05448825167540282
Gil_Alvarez_De_Albornoz,1310,,1,1,1,?,0.05448825167540282
Euphemia_of_Sweden,1317,,1,1,1,?,0.05448825167540282
"William_Donn_de_Burgh,_3rd_Earl_of_Ulster",1312,,1,1,1,?,0.05448825167540282
Fa_Ngum,1316,,1,1,1,?,0.05448825167540282
"Agnes,_Countess_of_Dunbar",1312,,1,1,1,?,0.05448825167540282
Preczlaw_of_Pogarell,1310,,1,1,1,?,0.05448825167540282
