group,name,description,image
_y2,Jacksonville,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Jacksonville%2C_Florida.svg/1280px-Flag_of_Jacksonville%2C_Florida.svg.png
_y2,Jefferson City,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Jefferson_City%2C_Missouri.svg/1280px-Flag_of_Jefferson_City%2C_Missouri.svg.png
_y2,Santa Clara County,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Santa_Clara_County%2C_California.svg/1920px-Flag_of_Santa_Clara_County%2C_California.svg.png
_y2,Somerset County,USA,https://www.crwflags.com/fotw/images/u/us-njsom.gif
_y2,Culebra,Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Flag_of_Culebra_%28Puerto_Rico%29.svg/1280px-Flag_of_Culebra_%28Puerto_Rico%29.svg.png

_o,African Union,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_the_African_Union.svg/1280px-Flag_of_the_African_Union.svg.png
_o,GCC,Gulf Cooperation Council,"https://i.imgur.com/tuo3g4Q.png"
_o,United Nations,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_the_United_Nations.svg/1280px-Flag_of_the_United_Nations.svg.png
_o,Korean Unificiation,used in sporting events,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Unification_flag_of_Korea_%28pre_2009%29.svg/1280px-Unification_flag_of_Korea_%28pre_2009%29.svg.png
_o,Taiwan,independence flag,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_World_Taiwanese_Congress.svg/1920px-Flag_of_World_Taiwanese_Congress.svg.png
_o,Oz,fictional,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Oz_flag.svg/1280px-Oz_flag.svg.png
