group,name,image,description
scotland,Nova Scotia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Nova_Scotia.svg/1920px-Flag_of_Nova_Scotia.svg.png,Canada
scotland,New Caledonia²,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_FLNKS.svg/1920px-Flag_of_FLNKS.svg.png,France
siberia,Siberia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_Siberia.svg/1024px-Flag_of_Siberia.svg.png,Russia
siberia,Novosibirsk,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Novosibirsk.svg/1280px-Flag_of_Novosibirsk.svg.png,Russia
siberia,Novosibirsk Oblast,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Novosibirsk_oblast.svg/1280px-Flag_of_Novosibirsk_oblast.svg.png,Russia
sparta,Sparta,https://cdn10.bigcommerce.com/s-hhbbk/products/5346/images/64956/Sparta_Flag__95801.1602527187.1280.1280.jpg?c=2
sparta,Nueva Esparta,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Nueva_Esparta.svg/1280px-Flag_of_Nueva_Esparta.svg.png,Venezuela
wales,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Wales_%281959%E2%80%93present%29.svg/1920px-Flag_of_Wales_%281959%E2%80%93present%29.svg.png
wales,New South Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_New_South_Wales.svg/1920px-Flag_of_New_South_Wales.svg.png,Australia
york,York,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_York.svg/1920px-Flag_of_York.svg.png,England
york,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_New_York_City.svg/1920px-Flag_of_New_York_City.svg.png,USA
york,New York State,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_New_York.svg/1920px-Flag_of_New_York.svg.png,USA
zeeland,Zeeland³,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Zeeland.svg/1280px-Flag_of_Zeeland.svg.png,Netherlands
zeeland,New Zealand³,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/1920px-Flag_of_New_Zealand.svg.png
