country,office,name,party,start,end,spectrum
Germany,chancellor,Ludwig Erhard,CDU (affiliated),17 October 1963,30 November 1966,right
Germany,chancellor,Kurt Georg Kiesinger,CDU,1 December 1966,21 October 1969,right
Germany,chancellor,Willy Brandt,SPD,22 October 1969,7 May 1974,left
Germany,chancellor,Helmut Schmidt,SPD,16 May 1974,1 October 1982,left
Germany,chancellor,Helmut Kohl,CDU,1 October 1982,27 October 1998,right
Germany,chancellor,Gerhard Schröder,SPD,27 October 1998,22 November 2005,left
Germany,chancellor,Angela Merkel,CDU,22 November 2005,,right
UK,premier,Harold Macmillan,Conservative,10 January 1957,19 October 1963,right
UK,premier,Alec Douglas-Home,Conservative,19 October 1963,16 October 1964,right
UK,premier,Harold Wilson,Labour,16 October 1964,19 June 1970,left
UK,premier,Edward Heath,Conservative,19 June 1970,4 March 1974,right
UK,premier,Harold Wilson,Labour,4 March 1974,5 April 1976,left
UK,premier,James Callaghan,Labour,5 April 1976,4 May 1979,left
UK,premier,Margaret Thatcher,Conservative,4 May 1979,28 November 1990,right
UK,premier,John Major,Conservative,28 November 1990,2 May 1997,right
UK,premier,Tony Blair,Labour,2 May 1997,27 June 2007,left
UK,premier,Gordon Brown,Labour,27 June 2007,11 May 2010,left
UK,premier,David Cameron,Conservative,11 May 2010,13 July 2016,right
UK,premier,Theresa May,Conservative,13 July 2016,,right
EU,commission president,Walter Hallstein,CD,1 January 1958,30 June 1967,right
EU,commission president,Jean Rey,L,30 June 1967,1 July 1970,centre
EU,commission president,Franco Maria Malfatti,CD,1 July 1970,1 March 1972,right
EU,commission president,Sicco Mansholt,SOC,1 March 1972,5 January 1973,left
EU,commission president,François-Xavier Ortoli,EPD,5 January 1973,5 January 1977,right
EU,commission president,Roy Jenkins,PES,5 January 1977,19 January 1981,left
EU,commission president,Gaston Thorn,ELDR,19 January 1981,6 January 1985,centre
EU,commission president,Jacques Delors,PES,6 January 1985,24 January 1995,left
EU,commission president,Jacques Santer,EPP,24 January 1995,15 March 1999,right
EU,commission president,Romano Prodi,ELDR,17 September 1999,22 November 2004,centre
EU,commission president,José Manuel Barroso,EPP,22 November 2004,1 November 2014,right
EU,commission president,Jean-Claude Juncker,CSV,1 November 2014,,right
Canada,premier,John Diefenbaker,Progressive Conservative,21 June 1957,22 April 1963,right
Canada,premier,Lester B. Pearson,Liberal,22 April 1963,20 April 1968,left,
Canada,premier,Pierre Trudeau,Liberal,20 April 1968,3 June 1979,left
Canada,premier,Joe Clark,Progressive Conservative,4 June 1979,2 March 1980,right
Canada,premier,Pierre Trudeau,Liberal,3 March 1980,29 June 1984,left
Canada,premier,John Turner,Liberal,30 June 1984,16 September 1984,left
Canada,premier,Brian Mulroney,Progressive Conservative,17 September 1984,24 June 1993,right
Canada,premier,Kim Campbell,Progressive Conservative,25 June 1993,3 November 1993,right
Canada,premier,Jean Chrétien,Liberal,4 November 1993,11 December 2003,left
Canada,premier,Paul Martin,Liberal,12 December 2003,5 February 2006,left
Canada,premier,Stephen Harper,Conservative,6 February 2006,3 November 2015,right
Canada,premier,Justin Trudeau,Liberal,4 November 2015,,left
Japan,premier,Nobusuke Kishi,LDP,25 February 1957,19 July 1960,right
Japan,premier,Hayato Ikeda,LDP,19 July 1960,9 November 1964,right
Japan,premier,Eisaku Satō,LDP,9 November 1964,7 July 1972,right
Japan,premier,Kakuei Tanaka,LDP,7 July 1972,9 December 1974,right
Japan,premier,Takeo Miki,LDP,9 December 1974,24 December 1976,right
Japan,premier,Takeo Fukuda,LDP,24 December 1976,7 December 1978,right
Japan,premier,Masayoshi Ōhira,LDP,7 December 1978,12 June 1980,right
Japan,premier,Zenkō Suzuki,LDP,17 July 1980,27 November 1982,right
Japan,premier,Yasuhiro Nakasone,LDP,27 November 1982,6 November 1987,right
Japan,premier,Noboru Takeshita,LDP,6 November 1987,3 June 1989,right
Japan,premier,Sōsuke Uno,LDP,3 June 1989,10 August 1989,right
Japan,premier,Toshiki Kaifu,LDP,10 August 1989,5 November 1991,right
Japan,premier,Kiichi Miyazawa,LDP,5 November 1991,9 August 1993,right
Japan,premier,Morihiro Hosokawa,JNP,9 August 1993,28 April 1994,centre
Japan,premier,Tsutomu Hata,JRP,28 April 1994,30 June 1994,right
Japan,premier,Tomiichi Murayama,JSP,30 June 1994,11 January 1996,left
Japan,premier,Ryūtarō Hashimoto,LDP,11 January 1996,30 July 1998,right
Japan,premier,Keizō Obuchi,LDP,30 July 1998,5 April 2000,right
Japan,premier,Yoshirō Mori,LDP,5 April 2000,26 April 2001,right
Japan,premier,Junichirō Koizumi,LDP,26 April 2001,26 September 2006,right
Japan,premier,Shinzō Abe,LDP,26 September 2006,26 September 2007,right
Japan,premier,Yasuo Fukuda,LDP,26 September 2007,24 September 2008,right
Japan,premier,Tarō Asō,LDP,24 September 2008,16 September 2009,right
Japan,premier,Yukio Hatoyama,DPJ,16 September 2009,8 June 2010,left
Japan,premier,Naoto Kan,DPJ,8 June 2010,2 September 2011,left
Japan,premier,Yoshihiko Noda,DPJ,2 September 2011,26 December 2012,left
Japan,premier,Shinzō Abe,LDP,26 December 2012,,right
Italy,premier,Antonio Segni,DC,15 February 1959,23 March 1960,right
Italy,premier,Fernando Tambroni,DC,25 March 1960,26 July 1960,right
Italy,premier,Amintore Fanfani,DC,26 July 1960,21 June 1963,right
Italy,premier,Giovanni Leone,DC,21 June 1963,4 December 1963,right
Italy,premier,Aldo Moro,DC,4 December 1963,24 June 1968,right
Italy,premier,Giovanni Leone,DC,24 June 1968,12 December 1968,right
Italy,premier,Mariano Rumor,DC,12 December 1968,6 August 1970,right
Italy,premier,Emilio Colombo,DC,6 August 1970,17 February 1972,right
Italy,premier,Giulio Andreotti,DC,17 February 1972,7 July 1973,right
Italy,premier,Mariano Rumor,DC,26 July 1973,23 November 1974,right
Italy,premier,Aldo Moro,DC,23 November 1974,29 July 1976,right
