name,flag,type
Bryansk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_Bryansk_Oblast.svg/360px-Flag_of_Bryansk_Oblast.svg.png,oblast
Chelyabinsk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Chelyabinsk_Oblast.svg/360px-Flag_of_Chelyabinsk_Oblast.svg.png,oblast
Irkutsk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Irkutsk_Oblast.svg/360px-Flag_of_Irkutsk_Oblast.svg.png,oblast
Ivanovo Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Ivanovo_Oblast.svg/360px-Flag_of_Ivanovo_Oblast.svg.png,oblast
Kaliningrad Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_Kaliningrad_Oblast.svg/360px-Flag_of_Kaliningrad_Oblast.svg.png,oblast
Kaluga Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Kaluga_Oblast.svg/360px-Flag_of_Kaluga_Oblast.svg.png,oblast
Kemerovo oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Kemerovo_oblast.svg/360px-Flag_of_Kemerovo_oblast.svg.png,oblast
Kirov Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Kirov_Oblast.svg/360px-Flag_of_Kirov_Oblast.svg.png,oblast
Kostroma Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Kostroma_Oblast.svg/360px-Flag_of_Kostroma_Oblast.svg.png,oblast
Kurgan Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Kurgan_Oblast.svg/360px-Flag_of_Kurgan_Oblast.svg.png,oblast
Kursk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Kursk_Oblast.svg/360px-Flag_of_Kursk_Oblast.svg.png,oblast
Leningrad Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Leningrad_Oblast.svg/360px-Flag_of_Leningrad_Oblast.svg.png,oblast
Lipetsk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Lipetsk_Oblast.svg/360px-Flag_of_Lipetsk_Oblast.svg.png,oblast
Magadan Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Magadan_Oblast.svg/360px-Flag_of_Magadan_Oblast.svg.png,oblast
Moscow oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Moscow_oblast.svg/360px-Flag_of_Moscow_oblast.svg.png,oblast
Murmansk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Flag_of_Murmansk_Oblast.svg/360px-Flag_of_Murmansk_Oblast.svg.png,oblast
Nizhny Novgorod Region,http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Nizhny_Novgorod_Region.svg/360px-Flag_of_Nizhny_Novgorod_Region.svg.png,oblast
Novgorod Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Novgorod_Oblast.svg/360px-Flag_of_Novgorod_Oblast.svg.png,oblast
Novosibirsk oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Novosibirsk_oblast.svg/360px-Flag_of_Novosibirsk_oblast.svg.png,oblast
Omsk Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Omsk_Oblast.svg/360px-Flag_of_Omsk_Oblast.svg.png,oblast
Orenburg Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Flag_of_Orenburg_Oblast.svg/360px-Flag_of_Orenburg_Oblast.svg.png,oblast
Oryol Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Oryol_Oblast.svg/360px-Flag_of_Oryol_Oblast.svg.png,oblast
Penza Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Penza_Oblast.svg/360px-Flag_of_Penza_Oblast.svg.png,oblast
Pskov Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Pskov_Oblast.svg/360px-Flag_of_Pskov_Oblast.svg.png,oblast
Rostov Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Rostov_Oblast.svg/360px-Flag_of_Rostov_Oblast.svg.png,oblast
Ryazan Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Ryazan_Oblast.svg/360px-Flag_of_Ryazan_Oblast.svg.png,oblast
Sakhalin Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flag_of_Sakhalin_Oblast.svg/360px-Flag_of_Sakhalin_Oblast.svg.png,oblast
Samara Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_Samara_Oblast.svg/360px-Flag_of_Samara_Oblast.svg.png,oblast
Saratov Oblast,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Saratov_Oblast.svg/360px-Flag_of_Saratov_Oblast.svg.png,oblast
