year,name,image
1958,The Once and Future King,"https://m.media-amazon.com/images/I/71IUzp-hzSL._AC_UF894,1000_QL80_.jpg"
1960,The Light in the Piazza,"https://m.media-amazon.com/images/I/71ZRyhFHeQL._AC_UF894,1000_QL80_.jpg"
1964,Charlie and the Chocolate Factory,"https://pictures.abebooks.com/isbn/9780142410318-uk.jpg"
1974,Carrie,"https://upload.wikimedia.org/wikipedia/commons/e/e0/Carrie_%281974%29_front_cover%2C_first_edition.jpg"
1975,Ragtime,"https://m.media-amazon.com/images/I/81Hq-L88FAL._AC_UF894,1000_QL80_.jpg"
1976,Kiss of the Spider Woman,"https://cdn.penguin.co.uk/dam-assets/books/9781407054094/9781407054094-jacket-large.jpg"
1982,The Color Purple,"https://m.media-amazon.com/images/I/71f6DRbcrsL._AC_UF894,1000_QL80_.jpg"
1983,The Witches,"https://m.media-amazon.com/images/I/71I46RSJJ9L._AC_UF894,1000_QL80_.jpg"
1985,"My Love, My Love","https://m.media-amazon.com/images/I/717+qmUom2L._AC_UF894,1000_QL80_.jpg"
1988,Matilda,"https://m.media-amazon.com/images/I/81H9ZOfCGBL._AC_UF894,1000_QL80_.jpg"
1992,The Bridges of Madison County,"https://m.media-amazon.com/images/I/81NWiZZjL0L._AC_UF894,1000_QL80_.jpg"
1995,Wicked,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437733293i/37442.jpg"
1995,High Fidelity,"https://m.media-amazon.com/images/I/81zn-8F0+jL._AC_UF894,1000_QL80_.jpg"
1998,Big Fish,"https://m.media-amazon.com/images/I/61Z0yoMQi5L._AC_UF1000,1000_QL80_.jpg"
2002,Coraline,"https://m.media-amazon.com/images/I/71FvtJvTkRL._AC_UF894,1000_QL80_.jpg"
2006,Fun Home,"https://cdn.penguin.co.uk/dam-assets/books/9781529116168/9781529116168-jacket-large.jpg"
