group,name,description,image
_y,Tokyo,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Flag_of_Tokyo_Metropolis.svg/1024px-Flag_of_Tokyo_Metropolis.svg.png
_y,Phoenix,Arizona,https://www.crwflags.com/fotw/images/u/us-az-px-l.gif
_y,Phitsanulok,Thailand,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Pitsanulok_flag.svg/1024px-Pitsanulok_flag.svg.png

_r,Maratha Empire,1674-1818,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_the_Maratha_Empire.svg/1920px-Flag_of_the_Maratha_Empire.svg.png
_r,Netanya,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Netanya.svg/1280px-Flag_of_Netanya.svg.png
_r,East Timor,"1976-1999, Indonesia",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Flag_of_Timor_Timur.svg/1280px-Flag_of_Timor_Timur.svg.png
_r,Nagano,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Nagano_Prefecture.svg/1024px-Flag_of_Nagano_Prefecture.svg.png
_r,Fukushima,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Fukushima_Prefecture.svg/1920px-Flag_of_Fukushima_Prefecture.svg.png

_w,_
_w,Hsinchu,Taiwan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Hsinchu_City.svg/1920px-Flag_of_Hsinchu_City.svg.png
_w,Chai Nat,Thailand,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_Chainat_Province.png/1024px-Flag_Chainat_Province.png
_w,Phayao,Thailand,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Phayao_flag.svg/1024px-Phayao_flag.svg.png
_w,Podilskyi District,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Flag_of_Podil_Raion.svg/1024px-Flag_of_Podil_Raion.svg.png

_g,Hòa Hảo Buddhism,Vietnam,https://www.fotw.info/images/r/rel-buhh.gif
_g,Yamaguchi,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Yamaguchi_Prefecture.svg/1280px-Flag_of_Yamaguchi_Prefecture.svg.png
_g,La Carolina,"Spain",https://www.crwflags.com/fotw/images/e/es-j-lac.gif
_g,Brown County,"Ohio",https://www.crwflags.com/fotw/images/u/us-oh-br.gif
_g,Davao De Oro,Philippines,https://upload.wikimedia.org/wikipedia/commons/9/94/Davao_De_Oro_Flag.jpg

_b,Cochabamba,Bolivia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Cochabamba.svg/1024px-Flag_of_Cochabamba.svg.png
_b,Micronesia,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/1024px-Flag_of_the_Federated_States_of_Micronesia.svg.png
_b,Somalia,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/1280px-Flag_of_Somalia.svg.png
_b,Ulaanbaatar,Mongolia,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mn_flag_ulaanbaatar.png
_b,United Nations,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_the_United_Nations.svg/1280px-Flag_of_the_United_Nations.svg.png






