"Golf Date","Arrival Time","Arrival Source","Depart Time","Depart Source",Club,Sighted?,"Golf Source",Comment
2017-07-03,"2017-07-03 00:00:00",http://publicpool.kinja.com/subject-updated-daily-guidance-and-press-schedule-for-1796598878,"2017-07-03 19:00:00",http://publicpool.kinja.com/subject-travel-pool-report-2-departure-for-andrews-1796611578,"Trump Natl, Bedminster, NJ",Yes,https://twitter.com/JenniferJJacobs/status/882235265082949632,"<a href=""http://www.dailymail.co.uk/news/article-4662776/Trump-poses-young-fans-trip-golf-course.html"">Enjoying an ice cream cone</a>"
2017-07-04,"2017-07-04 09:58:00",http://publicpool.kinja.com/subject-pool-report-3-1796620897,"2017-07-04 13:42:00",http://publicpool.kinja.com/subject-pool-report-4-1796623627,"Trump Natl, Potomac Falls, VA",Likely,_,
2017-07-09,"2017-07-09 10:14:00",http://publicpool.kinja.com/subject-in-town-pool-report-2-1796753480,"2017-07-09 14:22:00",http://publicpool.kinja.com/subject-in-town-pool-report-4-1796756600,"Trump Natl, Potomac Falls, VA",Likely,_,
2017-07-14,"2017-07-14 15:37:00",http://publicpool.kinja.com/subject-new-jersey-pool-report-2-arrival-at-bedmins-1796931375,"2017-07-14 23:59:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1796937919,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""https://www.washingtonpost.com/news/early-lead/wp/2017/07/14/trump-tweets-that-he-will-attend-the-u-s-womens-open/"">U.S. Womens Open</a>"
2017-07-15,"2017-07-15 14:29:00",http://publicpool.kinja.com/subject-bedminster-pool-report-2-potus-arrives-1796949429,"2017-07-15 18:19:00",http://publicpool.kinja.com/subject-new-jersey-pool-report-6-1796952535,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""https://www.reuters.com/article/us-golf-women-uschamp-trump-idUSKBN1A00RQ"">In his glass enclosed box</a>"
2017-07-16,"2017-07-16 15:11:00",http://publicpool.kinja.com/subject-bedminster-7-16-pool-report-5-1796963207,"2017-07-16 18:43:00",http://publicpool.kinja.com/subject-bedminster-7-16-pool-report-1796966434,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""http://thehill.com/blogs/blog-briefing-room/news/342267-womens-protest-receives-frosty-welcome-at-trump-golf-course"">Ultraviolet protests</a>"
2017-07-22,"2017-07-22 13:37:00",http://publicpool.kinja.com/subject-travel-pool-report-8-arrival-at-gold-club-1797157488,"2017-07-22 17:46:00",http://publicpool.kinja.com/subject-travel-pool-10-1797161114,"Trump Natl, Potomac Falls, VA",Yes,https://www.facebook.com/philip.hoff/posts/10101265952792327,"<a href=""http://www.washingtonexaminer.com/trump-visits-virginia-golf-course/article/2629434"">Lunch during a thunderstorm</a>"
2017-07-23,"2017-07-23 10:05:00",http://publicpool.kinja.com/subject-in-town-pool-report-2-1797169806,"2017-07-23 14:17:00",http://publicpool.kinja.com/subject-in-town-pool-report-5-1797172375,"Trump Natl, Potomac Falls, VA",Yes,_https://www.instagram.com/p/BW6KLG6gU2Y/,
2017-07-30,"2017-07-30 09:38:00",http://publicpool.kinja.com/subject-pool-report-1-1797374212,"2017-07-30 14:17:00",http://publicpool.kinja.com/subject-pool-report-2-rolling-1797377264,"Trump Natl, Potomac Falls, VA",Likely,_,"<a href=""http://www.thenewcivilrightsmovement.com/ryanjent/_trump_is_weak_and_sniveling_displayed_on_trump_s_golf_course_tv_s_until_press_arrived"">Trump is ""weak and sniveling""</a>"
2017-08-05,"2017-08-05 00:00:00",http://publicpool.kinja.com/subject-travel-print-pool-report-1-lunch-lid-news-1797562078,"2017-08-05 23:59:00",http://publicpool.kinja.com/subject-travel-print-pool-report-2-lid-1797566551,"Trump Natl, Bedminster, NJ",Yes,http://www.washingtonexaminer.com/trump-greets-wedding-guests-at-golf-resort-in-new-jersey/article/2630734,"<a href=""http://www.nydailynews.com/news/politics/trump-insists-new-jersey-golf-club-retreat-not-vacation-article-1.3387449"">""This is not a vacation""</a>"
2017-08-06,"2017-08-06 00:00:00",http://publicpool.kinja.com/subject-travel-pool-report-1-1797575074,"2017-08-06 23:59:00",http://publicpool.kinja.com/subject-travel-pool-report-3-final-1797581791,"Trump Natl, Bedminster, NJ",Likely,_,
2017-08-07,"2017-08-07 00:00:00",http://publicpool.kinja.com/subject-pool-report-1-1797591709,"2017-08-07 23:59:00",http://publicpool.kinja.com/subject-pool-report-3-1797616886,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""http://www.esquire.com/news-politics/news/a56873/trump-tweet-rain-golf/"">Rainy day Twitter storm</a>"
2017-08-08,"2017-08-08 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-tuesday-1797618711,"2017-08-08 23:59:00",http://publicpool.kinja.com/subject-whca-print-wh-pool-pool-report-2-1797656860,"Trump Natl, Bedminster, NJ",Likely,_,
2017-08-09,"2017-08-09 00:00:00",http://publicpool.kinja.com/subject-travel-pool-1-1797676040,"2017-08-09 23:59:00",http://publicpool.kinja.com/subject-travel-pool-3-lid-1797695773,"Trump Natl, Bedminster, NJ",Yes,http://www.washingtonexaminer.com/trumps-golf-partner-reveals-he-and-president-played-18-holes/article/2631095,"<a href=""https://twitter.com/4everNeverTrump/status/895369166282260481"">With a ""random person""</a>"
2017-08-10,"2017-08-10 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-thursday-1797699774,"2017-08-10 23:59:00",http://publicpool.kinja.com/subject-bedminster-pool-report-no-6-travel-photo-l-1797731861,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""https://www.yahoo.com/news/news/why-russian-airforce-flying-over-103352098.html"">Under Russian spy jets</a>"
2017-08-11,"2017-08-11 00:00:00",https://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-friday-1797737933,"2017-08-11 23:59:00",http://publicpool.kinja.com/subject-out-of-town-pool-report-5-lid-1797767814,"Trump Natl, Bedminster, NJ",Yes,_https://www.instagram.com/p/BXo0PgrAaCh/,"<a href=""https://twitter.com/realDonaldTrump/status/895970429734711298"">""locked and loaded""</a>"
2017-08-12,"2017-08-12 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1797770509,"2017-08-12 23:59:00",http://publicpool.kinja.com/subject-pool-report-no-4-1797784555,"Trump Natl, Bedminster, NJ",Likely,_,
2017-08-13,"2017-08-13 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-sunday-1797791752,"2017-08-13 23:59:00",http://publicpool.kinja.com/subject-out-of-town-pool-report-no-2-lid-1797802936,"Trump Natl, Bedminster, NJ",Likely,_,
2017-08-16,"2017-08-16 14:56:00",http://publicpool.kinja.com/subject-wh-travel-pool-report-8-1797914911,"2017-08-16 23:59:00",http://publicpool.kinja.com/subject-wh-travel-pool-report-9-1797914789,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""https://twitter.com/repdavetrott/status/897790564879478785"">More golf, less talk?</a>"
2017-08-17,"2017-08-17 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-thursday-1797919003,"2017-08-17 23:59:00",http://publicpool.kinja.com/subject-whca-print-wh-pool-wh-travel-pool-report-1797955176,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""https://www.nytimes.com/2017/08/18/us/politics/trump-dinner-top-donors-tax-reform.html"">Dining with ""biggest donors""</a>"
2017-08-18,"2017-08-18 17:56:00",http://publicpool.kinja.com/subject-travel-pool-report-8-1797990692,"2017-08-18 23:59:00",http://publicpool.kinja.com/subject-travel-pool-report-8-1797990692,"Trump Natl, Bedminster, NJ","Probably Not",_,"<a href=""http://www.nj.com/politics/index.ssf/2017/08/trumps_bedminster_golf_club_again_welcomes_the_pre.html"">Back from Camp David</a>"
2017-08-19,"2017-08-19 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1798023258,"2017-08-19 23:59:00",http://publicpool.kinja.com/subject-wh-travel-pool-2-1798062566,"Trump Natl, Bedminster, NJ","Probably Not",_,
2017-08-20,"2017-08-20 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-sunday-1798082596,"2017-08-20 17:00:00",https://twitter.com/markknoller/status/899428440667037697,"Trump Natl, Bedminster, NJ",Yes,_https://www.instagram.com/p/BYByxwTBlSX/,"<a href=""http://www.dailymail.co.uk/news/article-4810166/President-Trump-dines-golfs-Ivanka-poses-photo.html"">The vacation ends</a>"
2017-09-16,"2017-09-16 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1817176017,"2017-09-16 23:59:00",http://publicpool.kinja.com/subject-out-of-town-pool-report-4-travel-photo-lid-1818479447,"Trump Natl, Bedminster, NJ",Likely,_,
2017-09-17,"2017-09-17 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-sunday-1818480725,"2017-09-17 16:15:00",http://publicpool.kinja.com/subject-out-of-town-pool-report-2-1818491926,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""https://www.nytimes.com/2017/09/17/us/politics/hillary-golfball-trump-tweets.html"">Retweeting childish Hillary GIF</a>"
2017-09-22,"2017-09-22 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-friday-1818644365,"2017-09-22 17:00:00",http://publicpool.kinja.com/subject-travel-pool-report-2-1818674771,"Trump Natl, Bedminster, NJ",Likely,_,
2017-09-23,"2017-09-23 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1818683550,"2017-09-23 23:59:00",http://publicpool.kinja.com/subject-pool-report-2-1818693959,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""https://www.cbssports.com/nba/news/steph-curry-responds-to-trumps-comments-thats-not-what-leaders-do/"">Disinviting Stephen Curry</a>"
2017-09-24,"2017-09-24 00:00:00",http://publicpool.kinja.com/subject-updated-daily-guidance-and-press-schedule-for-1818697148,"2017-09-24 16:00:00",http://publicpool.kinja.com/subject-pool-report-1-1818708115,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""https://www.nytimes.com/2017/09/24/sports/nfl-trump-anthem-protests.html"">While urging NFL boycott</a>"
2017-09-29,"2017-09-29 17:50:00",http://publicpool.kinja.com/subject-travel-pool-report-3-lid-1819010800,"2017-09-29 23:59:00",http://publicpool.kinja.com/subject-travel-pool-report-3-lid-1819010800,"Trump Natl, Bedminster, NJ","Probably Not",_,
2017-09-30,"2017-09-30 00:00:00",http://publicpool.kinja.com/subject-daily-guidance-and-press-schedule-for-saturday-1819015990,"2017-09-30 23:59:00",http://publicpool.kinja.com/subject-updated-daily-guidance-and-press-schedule-for-1819032239,"Trump Natl, Bedminster, NJ",Likely,_,"<a href=""http://www.nydailynews.com/news/politics/president-trump-slams-san-juan-mayor-puerto-rico-leaders-article-1.3532130"">Insulting disaster victims</a>"
2017-10-01,"2017-10-01 00:00:00",http://publicpool.kinja.com/subject-updated-daily-guidance-and-press-schedule-for-1819032239,"2017-10-01 13:05:00",http://publicpool.kinja.com/subject-travel-pool-report-2-osprey-1819038318,"Trump Natl, Bedminster, NJ",Yes,https://patch.com/us/white-house/trumps-tweet-over-waste-time-negotiating-north-korea-apparently-sent-golf-course,
