"Golf Date","Arrival Time","Arrival Source","Depart Time","Depart Source",Club,Sighted?,"Golf Source",Comment
2017-12-10,"2017-12-10 09:37:00",http://publicpool.kinja.com/subject-travel-pool-2-trump-international-golf-club-1821163007,"2017-12-10 14:12:00",http://publicpool.kinja.com/subject-travel-pool-4-golf-over-1821166266,"Trump Intl, West Palm Beach, FL",Yes,http://thehill.com/homenews/news/364161-trump-spends-sunday-morning-at-florida-golf-club,"<a href=""http://www.thestate.com/news/politics-government/article189192754.html"">With Graham, on a ""spectacular golf course""</a>"
2017-12-23,"2017-12-23 09:07:00",http://publicpool.kinja.com/subject-pool-report-2-1821550452,"2017-12-23 14:07:00",http://publicpool.kinja.com/subject-pool-report-3-1821553383,"Trump Intl, West Palm Beach, FL",Yes,https://twitter.com/kylegriffin1/status/944657641955045376,"<a href=""https://www.golfdigest.com/story/donald-trump-plays-pre-christmas-round-of-golf-with-pga-tour-players"">With Thomas, Berger, and Herman</a>"
2017-12-24,"2017-12-24 10:18:00",http://publicpool.kinja.com/subject-pool-report-3-1821561529,"2017-12-24 14:44:00",http://publicpool.kinja.com/subject-pool-report-3-1821564641,"Trump Intl, West Palm Beach, FL",Likely,,"<a href=""http://www.foxnews.com/politics/2017/12/24/trumps-rails-against-fake-news-thanks-veterans-during-busy-christmas-eve.html"">Christmas Eve golf?</a>"
2017-12-26,"2017-12-26 09:05:00",http://publicpool.kinja.com/subject-pool-report-no-1-1821580145,"2017-12-26 14:15:00",http://publicpool.kinja.com/subject-pool-report-no-3-1821585178,"Trump Intl, West Palm Beach, FL",Yes,http://thehill.com/blogs/blog-briefing-room/news/366529-cnn-cameras-capture-video-of-trump-golfing-in-florida,"<a href=""http://www.nydailynews.com/news/politics/president-trump-back-work-golf-day-christmas-article-1.3721471"">""Back to work"" with Sen. David Purdue</a>"
2017-12-27,"2017-12-27 09:07:00",http://publicpool.kinja.com/subject-pool-report-2-1821597878,"2017-12-27 14:07:00",http://publicpool.kinja.com/subject-pool-report-3-1821606476,"Trump Intl, West Palm Beach, FL",Likely,,"<a href=""http://money.cnn.com/2017/12/27/media/truck-blocks-camera-trump-golf-course/index.html"">Behind a big white truck?</a>"
2017-12-28,"2017-12-28 08:36:00",http://publicpool.kinja.com/subject-pool-report-2-trump-international-golf-club-1821621136,"2017-12-28 14:11:00",http://publicpool.kinja.com/subject-pool-report-3-leaving-trump-international-go-1821629757,"Trump Intl, West Palm Beach, FL",Yes,https://www.instagram.com/p/BdSSU85FnUy/,"<a href=""https://www.nytimes.com/2017/12/29/insider/mike-schmidt-interview-donald-trump.html"">Ahead of NY Times interview</a>"
2017-12-29,"2017-12-29 09:09:00",http://publicpool.kinja.com/subject-travel-pool-2-golf-club-arrival-1821645862,"2017-12-29 14:41:00",http://publicpool.kinja.com/subject-travel-pool-4b-more-from-coast-guard-photo-1821652698,"Trump Intl, West Palm Beach, FL",Yes,https://www.instagram.com/p/BdTIC4eHq1N/,"<a href=""https://www.mediaite.com/tv/watch-trump-hosts-coast-guard-members-on-golf-course/"">Coast Guard Scramble</a>"
2017-12-30,"2017-12-30 09:40:00",http://www.nydailynews.com/news/politics/trump-tweeted-back-work-spent-5-days-row-golf-club-article-1.3728155,"2017-12-30 14:30:00",https://twitter.com/waynewashpbpost/status/947190095945371651,"Trump Intl, West Palm Beach, FL",Yes,https://www.instagram.com/p/BdVk4T4gMbz/,"<a href=""https://www.instagram.com/p/BdVk4T4gMbz/"">With golf pro David Frost</a>"
2017-12-31,"2017-12-31 09:44:00",https://twitter.com/CillizzaCNN/status/947483813231382528,"2017-12-31 15:15:00",http://publicpool.kinja.com/subject-travel-pool-5-return-to-mal-gov-scott-readou-1821685936,"Trump Intl, West Palm Beach, FL",Maybe,,"<a href=""http://thehill.com/homenews/campaign/350455-rick-scotts-hurricane-response-boosts-profile-for-potential-senate-run"">Lunch with Governor Scott</a>"
2018-01-01,"2018-01-01 08:51:00",http://publicpool.kinja.com/subject-pool-report-no-1-happy-2018-1821689279,"2018-01-01 13:20:00",https://twitter.com/ChuckWeber12/status/947906591512317953,"Trump Intl, West Palm Beach, FL",Yes,http://thehill.com/blogs/blog-briefing-room/news/366971-trump-starts-2018-at-golf-club,"<a href=""http://www.golf.com/tour-news/2018/01/02/president-trump-golf-course-rare-video-footage-offers-behind-scenes-look"">With Fred and Taylor Funk</a>"
