hybrid,latin,greek
homosexuality,idemsexuality,homophilia
polyamory,multiamory,polyphilia 
bigamy,bigeniality,digamy
sociopaths,sociopatients,hetairopaths
democide,plebicide,democtony
liposuction,crassosuction,lipomyza
television,longivision,teleskope  
automobiles,suimobiles,autokinetics
hexadecimal,sexidecimal,hexadekamal

